[00:02:00] こんにちは
[00:02:03] こんにちはよろしくお願いします
[00:02:07] よろしくお願いします
[00:02:08] お疲れ様でございます
[00:02:13] それではまた
[00:02:15] 今週もよろしくお願いいたします
[00:02:18] よろしくお願いします
[00:02:19] 前回の振り返りからですけれども
[00:02:23] 前回ですね
[00:02:24] 第2巻のですね
[00:02:27] 方向性のところと
[00:02:29] あと健康案の方ですね
[00:02:33] ちょっと説明させていただいておりましたが
[00:02:36] いかがでしょうか
[00:02:38] チェックは入れさせていただいたんですけど
[00:02:45] 基本的にはこの流れで
[00:02:50] いきたいなというふうに
[00:02:53] これあれですかね
[00:02:55] 赤入れていただいたところって
[00:02:56] これチェックしていただいたところですかね
[00:02:59] 入れる必要ないかなと一瞬思ったんですけど
[00:03:02] 逆に高橋さんが出された側なので
[00:03:09] どこをどう直したのかっていうのがやっぱり
[00:03:11] そうですね
[00:03:12] ありがとうございます
[00:03:13] 後々のことにも関係してくると思ったので
[00:03:17] ありがとうございます
[00:03:17] こちらの方も見ていただいて
[00:03:23] 途中ってことでよろしいですかね
[00:03:27] 現行の方も
[00:03:33] 第1から第4ぐらいまで見ていただいた形ですかね
[00:03:41] 一応最後のところまで一通りは見ましたけれども
[00:03:47] 全体的な方針としてはこちらでよろしいですかね
[00:03:55] ありがとうございます
[00:03:58] ここら辺が何か追加ですよね
[00:04:04] 人生最後
[00:04:05] それが
[00:04:08] いわゆる
[00:04:09] どちらかと言うとエビデンスっていうんでしょうかね
[00:04:12] はいはいはい
[00:04:13] 君はそう言ってるけど
[00:04:15] 本当はどうなんだいっていうところで
[00:04:18] これがこういう調査で
[00:04:21] いわゆる
[00:04:22] 人生最後の時に
[00:04:24] こういう後悔の言葉が出ましたよと いうまあ発表事実がありますよという
[00:04:30] まあエビデンスを出しておいて 私の主張
[00:04:34] オーマー要するにそこで合わせていく
[00:04:39] なのでまぁあんまりこっちこっちだして くとなんかうんちくとか逆にたあの
[00:04:44] 積極作なっていくので んだったらもう本当にあのね最低のところ
[00:04:51] に控えていかないといけないという 部分なんですけど
[00:04:54] そうしたらどちらかとエッセイ っぽくなっていかないというか
[00:04:59] 教本みたいになってしまうとまずい
[00:05:04] なるほどですね確かにそこのトーン 受け取り取られ方確かに大事ですね
[00:05:10] そうなんですよねだから本当に 必要最低限の
[00:05:16] そうなんだねぐらいのなんて言うんでしょうか
[00:05:19] はいはいはいはい
[00:05:20] そういうことがそういうルール方法があるんだみたいな
[00:05:24] はいはいはいはい
[00:05:26] わかるぐらいで
[00:05:36] これのところ僕も初めて聞きました
[00:05:39] 高速
[00:05:40] そうですね
[00:05:41] それは
[00:05:43] だからその
[00:05:45] 法則を説明してもいいんですけど
[00:05:48] それやるとさっきみたいに
[00:05:51] 確かに
[00:05:52] 正直説明した方がいいのかもしれませんけど
[00:05:56] はいはいはい
[00:05:57] それはちょっと高橋さんの
[00:05:59] はいはいそうですね
[00:06:00] 客観的な判断ももらって
[00:06:02] はいはい
[00:06:02] 確かにな
[00:06:04] この程度は説明しておいた方がいいんじゃないですか
[00:06:06] はいはい
[00:06:08] 確かに
[00:06:11] 要するに曖昧な思考というか
[00:06:16] それは曖昧な行動と繋がるっていうことは
[00:06:19] じゃあ逆にその曖昧な行動をしないためにはどうすればいいのかっていう
[00:06:36] はい
[00:06:36] あんまり指示や目標を誰もが感想すると 私のだけの志望だと
[00:06:41] はい
[00:06:44] ですよね
[00:06:45] それをあの
[00:06:47] 平たく言うと曖昧な
[00:06:50] というそれになるよっていう部分ですね
[00:06:56] そうですね 曖昧なことまでに
[00:07:04] 遠征 a 色
[00:07:07] えっ 無理解論って書いてあったんですけどはい
[00:07:11] 意味的にはあのにもう作とかに着作って 良く言いますけどはい
[00:07:16] まあいわの力作的な感じかなというので なんか人生に切るとにキラーにし
[00:07:24] 一気に切って言うかねはい
[00:07:28] 人生議論
[00:07:34] 逆にあの
[00:07:35] 二回論というところ全部は修正できてないですけど
[00:07:39] 本当ですね
[00:07:40] ちょっとここは
[00:07:41] 全体的にははい
[00:07:47] どうも
[00:07:47] ご視聴ありがとうございました
[00:08:17] その辺もエビデンス的な感じですよね
[00:08:44] そうですね
[00:08:45] 睡眠の質がどうのこうのというところで
[00:08:49] 具体的にどうしたらいいんだよというところですよね
[00:08:53] そもそも量自体が取れていないという
[00:08:56] だから今ノーブレー賞は間違いなく
[00:09:02] 受賞するだろうと言われている睡眠学者が言っているのが
[00:09:05] とりあえずまず日本人は量を取れという
[00:09:09] 質を問う前に
[00:09:13] 量が足りてないんだと
[00:09:16] OECD加盟国30何カ国の中では
[00:09:20] 最下位だから
[00:09:21] 何をそんなに頑張ってるんだ
[00:09:26] 睡眠学者が言うには
[00:09:29] 睡眠って大事だよね
[00:09:33] どうしてって聞くと答えられない
[00:09:35] 体のためだったら別に2,3時間でいいそうです
[00:09:42] なるほどですね
[00:09:44] ところが脳はそうはいかない
[00:09:48] 脳がストレス高い時代に
[00:09:54] ストレスの多い時代に
[00:09:57] 昔と違う膨大な量の情報量と
[00:10:01] 先行きが見えない
[00:10:04] そこの中の選択を
[00:10:06] いつも晒されているわけで
[00:10:10] その環境の中では
[00:10:12] 自分は意識してないけれども
[00:10:15] 脳はものすごい負荷を抱えているはずだと
[00:10:18] はいはいはいはい
[00:10:19] じゃあなんで今おかしい人が多いか
[00:10:21] おかしいって言うとちょっと失礼だかもしれない
[00:10:24] より感情が不安定な子供とか
[00:10:28] はいはいはい
[00:10:29] それからちょっと言うとすぐやめてしまうとか
[00:10:31] 要はそれは精神的な問題だったね
[00:10:35] だからこの子は弱い子だ
[00:10:38] いや違うでしょと
[00:10:39] そういうことではないだろうと
[00:10:41] 要は脳の問題だと
[00:10:43] 脳は要は8時間ぐらいかけて
[00:10:47] ゆっくりとその1日のことを繰り返して
[00:10:52] どちらかというと浄化してるっていう形で
[00:10:56] それが短いと途中で終わるわけで
[00:10:59] つまり整理されてない状態が
[00:11:03] 日々日々積み重ねをしていると
[00:11:06] 昭和というかむしろもっと前の江戸時代とか明治だったら
[00:11:13] 別にそれでいいでしょうけど情報も少ないんで
[00:11:15] ところが野山をかけてる場合じゃない塾に行けと
[00:11:21] 塾も3つ4つ5つ行けと
[00:11:24] 大学院まで行けと
[00:11:28] 良ければAIも全部習得して
[00:11:32] そんなストレス抱えて子供たちが
[00:11:37] で睡眠時間を短くしているということは
[00:11:42] 要はどちらかというと体は2,3時間だけど
[00:11:45] 心は8時間かかるよということですよ逆に
[00:11:48] 脳の整理ってことは
[00:11:51] 整理できてない状態っていうのは
[00:11:53] なんかいつもこう途中中途半端で不安を抱えているはずなんで
[00:11:58] 人間自身はそうじゃないんだけど
[00:12:00] いわゆる健在意識では
[00:12:02] でも潜在意識を含め
[00:12:06] 脳の中の
[00:12:07] いわゆるそういう
[00:12:08] 新陳代謝的なものですよね
[00:12:11] 情報整理とか
[00:12:13] そういったことが
[00:12:14] 8時間なんだけど
[00:12:17] まだ4時間で起きちゃうの?
[00:12:20] いやまだ半分やってないんですけど
[00:12:22] 1日やってまた4時間って
[00:12:25] どんどんどんどん溜まっていって
[00:12:27] となんかわけわからない時にいきなりカクンとくる
[00:12:30] そうするとそういう僕は何だろう
[00:12:35] 薬を飲み始める
[00:12:37] 確かにですね
[00:12:39] スイング臭いみたいな言葉もありますもんね
[00:12:43] そうですね
[00:12:44] ただねそれは学者はないとは言ってない
[00:12:48] そうなんですか
[00:12:49] 逆に言うと貯金もできない
[00:12:52] 寝た目できないと言われてますもんね
[00:12:54] だから睡眠は貯金できないので
[00:13:00] 耐えず日々の中で
[00:13:04] やっぱり消化していかないといけないんだ
[00:13:06] なので
[00:13:08] だってアフリカとかアメリカでも9時間以上ですからね
[00:13:13] 寝てる時間が
[00:13:15] 韓国から文化が来てるので
[00:13:20] やはり韓国は近いんですけど
[00:13:24] 韓国はだから最低から2番目なんですよ
[00:13:28] それでも8時間近いんですよ
[00:13:31] 7時間51分
[00:13:32] 7時間台というのが
[00:13:36] 韓国と日本だけなんで
[00:13:38] 日本は7時間22分しか寝てないので
[00:13:43] 確かに
[00:13:44] 中国は9時間以上だし
[00:13:48] アメリカはもう
[00:13:49] 8時間48分ってほぼ9時間だし
[00:13:52] だから韓国と日本の次に低いところでもノルウェーで8時間ですから
[00:14:03] だから8時間っていうのは
[00:14:07] だからここに8時間以上の睡眠を心がけましょうっていう風に書いたんですよね
[00:14:14] しかも何よりも睡眠は脳の管理なんだっていう
[00:14:19] そういうところですね
[00:14:23] 言葉がちょっと脳の管理でいいのか
[00:14:25] その時はそういうつもりで書きましたけど
[00:14:28] もうちょっと適切な言葉が
[00:14:32] ちょっと一緒に浮かんでくればいいんです
[00:14:34] 要はだから情報整理をしたり
[00:14:39] 要するにストレスを心にためないっていう
[00:14:43] それをしているんだっていう
[00:14:48] それが主張なんですけどね
[00:14:50] 運動の質のところは
[00:14:54] 8000歩っていうのが目安だっていう
[00:14:58] 実はこれ以上やると
[00:15:02] 膝にやっぱり負担が来るらしいんですよ
[00:15:06] そうなんですね
[00:15:07] 20代30代の話をしてるわけじゃなくて
[00:15:10] そうかそうか
[00:15:12] だからなんか1万歩だって
[00:15:13] おじいさんおばあさん頑張ってるけど
[00:15:15] 医者から言わせると
[00:15:18] それはやりすぎですっていう
[00:15:20] それともう一つは
[00:15:24] 硬い体が
[00:15:25] だからここに書いていただいたように
[00:15:29] 骨密度の部分があるんですが
[00:15:32] それともう一つは
[00:15:33] 柔軟性っていうところが
[00:15:35] すごく求められていて
[00:15:38] そういうストレッチをやっておくと
[00:15:41] なんかにつまずいて倒れるときに
[00:15:44] 受け身とか
[00:15:45] それから所作がやっぱり違うんですよね
[00:15:48] やっぱり台風でも何でもそうですけど
[00:15:54] さあ来いって固くしてると
[00:15:56] 落ちておりますけど
[00:15:58] 風邪来たねーってこうやって
[00:16:01] 地震もそうですよね
[00:16:04] そうですね
[00:16:04] 高層ビルの構造物の
[00:16:07] やっぱり構造も
